Time (UTC),Latitude,Longitude,Altitude (km)
2025-07-15T19:55:05Z,-53.204999671338534,-152.60812437295044,nan
2025-07-15T20:05:05Z,-39.3830285439171,-103.1834749233282,nan
2025-07-15T20:15:05Z,-11.729684475211002,-76.77586748977441,nan
2025-07-15T20:25:05Z,18.33033844803302,-56.03263368427154,nan
2025-07-15T20:35:05Z,44.38753877545872,-25.853120819257214,nan
2025-07-15T20:45:05Z,52.37430838614143,28.536076946312992,-6316.204648962464
2025-07-15T20:55:05Z,33.69527457392434,72.09009695364013,-6276.544748079509
2025-07-15T21:05:05Z,4.841382784078305,95.8358219203895,-6265.593657222471
2025-07-15T21:15:05Z,-24.915785729299948,117.26059847425552,-6277.918685092099
2025-07-15T21:25:05Z,-48.527507308455796,152.19570201589062,-6319.82770730784
2025-07-15T21:35:05Z,-50.0491092933139,-151.39015254251285,nan
2025-07-15T21:45:05Z,-27.79951973249846,-113.90902495312079,nan
2025-07-15T21:55:05Z,1.7318673507146407,-91.92630683699227,nan
2025-07-15T22:05:05Z,30.964753121002172,-69.09444243698351,nan
2025-07-15T22:15:05Z,51.46941138801206,-28.369050552597866,nan
2025-07-15T22:25:05Z,46.39974861912984,27.40471631962839,-6294.15845398022
2025-07-15T22:35:05Z,21.322666070115023,59.650856671931955,-6269.183921086721
2025-07-15T22:45:05Z,-8.646447702400343,80.61846489662112,-6268.541741403231
2025-07-15T22:55:05Z,-36.87638719724973,105.6813634312729,-6291.902780657888
2025-07-15T23:05:05Z,-53.02342684616514,152.4336477518662,nan
2025-07-15T23:15:05Z,-41.873282795536724,-155.62981375576177,nan
2025-07-15T23:25:05Z,-14.946385178588226,-127.58159178340513,nan
2025-07-15T23:35:05Z,15.142767377792667,-106.92451001173515,nan
2025-07-15T23:45:05Z,42.07337227778585,-78.67154452218122,nan
2025-07-15T23:55:05Z,52.97752098334636,-26.313747375231305,-6324.600614762768
2025-07-16T00:05:05Z,36.47070548883667,20.22009971095333,-6280.089465415297
2025-07-16T00:15:05Z,8.10211152375319,45.133221266814516,-6266.502764512054
2025-07-16T00:25:05Z,-21.828806709243253,66.14068241932968,-6276.038453089288
2025-07-16T00:35:05Z,-46.672238275880495,98.63056729169732,-6312.969402349783
2025-07-16T00:45:05Z,-51.35443561533371,154.33497275160576,nan
2025-07-16T00:55:05Z,-30.75726308264647,-165.3371781436768,nan
2025-07-16T01:05:05Z,-1.5408624928386379,-142.59751662920814,nan
2025-07-16T01:15:05Z,28.00534529010698,-120.5433131764433,nan
2025-07-16T01:25:05Z,50.19061796036601,-82.70036542805074,nan
2025-07-16T01:35:05Z,48.295213758327556,-26.128856481276607,-6299.56208663726
2025-07-16T01:45:05Z,24.424415377275317,8.546608284601758,-6271.532220581278
2025-07-16T01:55:05Z,-5.389771153212095,29.911735764183668,-6268.286776070545
2025-07-16T02:05:05Z,-34.125758212154466,53.784183563472354,-6288.477186804468
2025-07-16T02:15:05Z,-52.46652611856864,97.5888115371288,-6355.2758768790945
2025-07-16T02:25:05Z,-44.195198167076605,151.59627251377748,nan
2025-07-16T02:35:05Z,-18.131688299073737,-178.46433042120972,nan
2025-07-16T02:45:05Z,11.923978719722028,-157.737404379252,nan
2025-07-16T02:55:05Z,39.58781776204227,-131.15726641122944,nan
2025-07-16T03:05:05Z,53.20387927729214,-81.29138700080374,-6334.717691820454
2025-07-16T03:15:05Z,39.12584336669227,-31.91291612591066,-6283.952999918852
2025-07-16T03:25:05Z,11.347486151519659,-5.609723344133733,-6267.7163170532
2025-07-16T03:35:05Z,-18.69144665998987,15.142504902962505,-6274.538581405149
2025-07-16T03:45:05Z,-44.584325120379724,45.43861064941641,-6307.183881589322
2025-07-16T03:55:05Z,-52.33096270910418,99.75322840664455,nan
2025-07-16T04:05:05Z,-33.62936814654243,143.03670399145366,nan
2025-07-16T04:15:05Z,-4.810239581125038,166.72413338875228,nan
2025-07-16T04:25:05Z,24.97327447357322,-171.818950751453,nan
2025-07-16T04:35:05Z,48.608896491212754,-136.67867152012806,nan
2025-07-16T04:45:05Z,49.9277272284347,-80.04026418825502,-6305.457686236761
2025-07-16T04:55:05Z,27.467752513591293,-42.700454874316165,-6274.1757068397965
2025-07-16T05:05:05Z,-2.122161637811888,-20.76915401647547,-6268.356930004022
2025-07-16T05:15:05Z,-31.2706518810833,2.1204694936831454,-6285.534577717775
2025-07-16T05:25:05Z,-51.55070886047799,42.96020821155641,-6338.700594438612
2025-07-16T05:35:05Z,-46.3209168321758,98.46832332189203,nan
2025-07-16T05:45:05Z,-21.2774566422693,130.55630088164477,nan
2025-07-16T05:55:05Z,8.681508996907658,151.51026414542932,nan
2025-07-16T06:05:05Z,36.95613310203703,176.65861113794543,nan
